"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"132",17.087304,58.663112,"2619442428",70,43,180,6762,202,-39,241,169,-2,169,-16,563,65,30,25,191,91,191,103
"133",17.093062,58.666859,"2619461427",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"134",17.092856,58.670096,"2619505427",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"135",17.101174,58.678783,"2619539150",70,43,180,6766,202,-40,242,169,-2,169,-17,551,63,29,26,187,88,187,100
"136",17.092308,58.666924,"2619545421",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"137",11.732788,57.742437,"2619562171",81,39,181,6157,196,-19,216,103,49,168,0,718,78,39,24,231,122,214,138
"138",25.29841,54.68575,"2619885196",68,67,228,8055,226,-69,295,175,-14,175,-40,599,73,32,26,216,100,216,101
"139",6.472422,46.666819,"2619905680",94,78,296,6400,236,-26,263,28,72,184,11,1058,112,72,14,332,219,230,304
"140",14.177912,55.780576,"2247082049",80,42,193,6172,199,-20,219,62,13,170,1,611,67,38,17,194,120,161,128
"141",14.307602,55.590531,"2247121182",80,33,161,6065,190,-15,205,63,14,169,2,616,69,38,19,199,118,168,128
"142",17.547718,59.854261,"2247162311",61,59,214,7311,211,-65,276,165,-15,165,-34,561,74,28,32,214,86,214,94
"143",14.217304,55.693583,"2247513108",82,38,180,6132,198,-16,213,65,16,172,3,566,64,35,19,183,109,152,118
"144",17.321639,58.97885,"2247518019",67,49,195,6925,205,-49,253,167,-6,167,-23,525,62,28,26,178,84,178,93
"145",14.195717,55.719786,"2247527666",81,40,185,6142,198,-18,215,63,14,171,2,596,66,37,18,189,115,162,124
"146",10.914827,59.142069,"2027434946",74,52,208,6880,209,-42,251,94,44,169,-16,806,101,44,26,283,141,229,150
"147",11.054066,59.059988,"2147646504",73,51,204,6823,205,-42,247,93,43,167,-16,835,103,47,25,289,149,237,158
"148",16.278245,58.92429,"2270992708",65,65,235,7134,215,-60,275,164,-10,164,-29,618,74,33,26,214,99,206,107
"149",17.110023,58.680725,"2271160196",70,43,179,6765,202,-39,241,169,-2,169,-16,555,63,30,25,187,91,187,103
"150",17.097788,58.679511,"2271160558",70,44,181,6767,202,-40,242,168,-2,168,-17,558,64,30,25,188,91,188,103
"151",17.104498,58.680384,"2271161531",70,43,180,6766,202,-40,242,169,-2,169,-17,551,63,29,26,187,88,187,100
